Table,Field,Required,Ref Table,Ref Field,Type Precision,Standard,Description
visit_cost,currency_concept_id,No,concept,concept_id,integer,,"A concept representing the 3-letter code used to delineate international currencies, such as USD for US Dollar."
visit_cost,paid_by_coordination_benefits,No,,,float,,The amount paid by a secondary payer through the coordination of benefits. 
visit_cost,paid_by_payer,No,,,float,,"The amount paid by the payer (insurer). If there is more than one payer, several visit_cost records indicate that fact. "
visit_cost,paid_coinsurance,No,,,float,,"The amount paid by the person as a joint assumption of risk. Typically, this is a percentage of the expenses defined by the payer plan (policy) after the person's deductible is exceeded. "
visit_cost,paid_copay,No,,,float,,The amount paid by the person as a fixed contribution to the expenses. Copay does not contribute to the out_of_pocket expenses. 
visit_cost,paid_toward_deductible,No,,,float,,The amount paid by the person that is counted toward the deductible defined by the payer plan (policy). 
visit_cost,payer_plan_period_id,No,,,integer,,"A foreign key to the payer_plan_period table, where the details of the payer, plan and family are stored. "
visit_cost,total_out_of_pocket,No,,,float,,"The total amount paid by the person as a share of the expenses, excluding the copay. "
visit_cost,total_paid,No,,,float,,The total amount paid for the expenses of the procedure. 
visit_cost,visit_cost_id,Yes,,,integer,,A unique identifier for each procedure cost record. 
visit_cost,visit_occurrence_id,Yes,visit_occurrence,visit_occurrence_id,integer,,A foreign key identifier to the procedure record for which cost data are recorded. 
