Table,Field,Required,Ref Table,Ref Field,Type Precision,Standard,Description
procedure_occurrence,modifier_concept_id,No,concept,concept_id,integer,,A foreign key to a standard concept identifier for a modifier to the procedure (e.g. bilateral) 
procedure_occurrence,person_id,Yes,person,person_id,integer,,A foreign key identifier to the person who is subjected to the procedure. The demographic details of that person are stored in the person table. 
procedure_occurrence,procedure_concept_id,Yes,concept,concept_id,integer,"CPT-4 HCPCS ICD-9-Proc, ICD-9-CM, LOINC",A foreign key that refers to a standard procedure concept identifier in the vocabulary. 
procedure_occurrence,procedure_date,Yes,,,date,,The date on which the procedure was performed. 
procedure_occurrence,procedure_occurrence_id,Yes,,,integer,,A system-generated unique identifier for each procedure occurrence. 
procedure_occurrence,procedure_source_concept_id,No,concept,concept_id,integer,,A foreign key to a procedure concept that refers to the code used in the source. 
procedure_occurrence,procedure_source_value,No,,,varchar(50),,"The source code for the procedure as it appears in the source data. This code is mapped to a standard procedure concept in the vocabulary and the original code is, stored here for reference. Procedure source codes are typically ICD-9-Proc, CPT-4 or HCPCS codes."
procedure_occurrence,procedure_type_concept_id,Yes,concept,concept_id,integer,OMOP,The date on which the procedure was performed. 
procedure_occurrence,provider_id,No,provider,provider_id,integer,,A foreign key to the provider in the provider table who was responsible for carrying out the procedure. 
procedure_occurrence,qualifier_source_value,No,,,varchar(50),,The source code for the qualifier as it appears in the source data. 
procedure_occurrence,quantity,No,,,integer,,The quantity of procedures ordered or administered. 
procedure_occurrence,visit_occurrence_id,No,visit_occurrence,visit_occurrence_id,integer,,A foreign key to the visit in the visit table during which the procedure was carried out. 
