model,version,name,unique,table,field,order
omop,v5,idx_attribute_definition_id,No,attribute_definition,attribute_definition_id,asc
omop,v5,idx_cohort_c_definition_id,No,cohort,cohort_definition_id,asc
omop,v5,idx_cohort_subject_id,No,cohort,subject_id,asc
omop,v5,idx_ca_definition_id,No,cohort_attribute,cohort_definition_id,asc
omop,v5,idx_ca_subject_id,No,cohort_attribute,subject_id,asc
omop,v5,idx_cohort_definition_id,No,cohort_definition,cohort_definition_id,asc
omop,v5,idx_concept_class_id,No,concept,concept_class_id,asc
omop,v5,idx_concept_code,No,concept,concept_code,asc
omop,v5,idx_concept_concept_id,Yes,concept,concept_id,asc
omop,v5,idx_concept_domain_id,No,concept,domain_id,asc
omop,v5,idx_concept_vocabluary_id,No,concept,vocabulary_id,asc
omop,v5,idx_concept_ancestor_id_1,No,concept_ancestor,ancestor_concept_id,asc
omop,v5,idx_concept_ancestor_id_2,No,concept_ancestor,descendant_concept_id,asc
omop,v5,idx_concept_class_class_id,Yes,concept_class,concept_class_id,asc
omop,v5,idx_concept_relationship_id_1,No,concept_relationship,concept_id_1,asc
omop,v5,idx_concept_relationship_id_2,No,concept_relationship,concept_id_2,asc
omop,v5,idx_concept_relationship_id_3,No,concept_relationship,relationship_id,asc
omop,v5,idx_concept_synonym_id,No,concept_synonym,concept_id,asc
omop,v5,idx_condition_era_concept_id,No,condition_era,condition_concept_id,asc
omop,v5,idx_condition_era_person_id,No,condition_era,person_id,asc
omop,v5,idx_condition_concept_id,No,condition_occurrence,condition_concept_id,asc
omop,v5,idx_condition_person_id,No,condition_occurrence,person_id,asc
omop,v5,idx_condition_visit_id,No,condition_occurrence,visit_occurrence_id,asc
omop,v5,idx_death_person_id,No,death,person_id,asc
omop,v5,idx_device_concept_id,No,device_exposure,device_concept_id,asc
omop,v5,idx_device_person_id,No,device_exposure,person_id,asc
omop,v5,idx_device_visit_id,No,device_exposure,visit_occurrence_id,asc
omop,v5,idx_domain_domain_id,Yes,domain,domain_id,asc
omop,v5,idx_dose_era_concept_id,No,dose_era,drug_concept_id,asc
omop,v5,idx_dose_era_person_id,No,dose_era,person_id,asc
omop,v5,idx_drug_era_concept_id,No,drug_era,drug_concept_id,asc
omop,v5,idx_drug_era_person_id,No,drug_era,person_id,asc
omop,v5,idx_drug_concept_id,No,drug_exposure,drug_concept_id,asc
omop,v5,idx_drug_person_id,No,drug_exposure,person_id,asc
omop,v5,idx_drug_visit_id,No,drug_exposure,visit_occurrence_id,asc
omop,v5,idx_drug_strength_id_1,No,drug_strength,drug_concept_id,asc
omop,v5,idx_drug_strength_id_2,No,drug_strength,ingredient_concept_id,asc
omop,v5,idx_fact_relationship_id_1,No,fact_relationship,domain_concept_id_1,asc
omop,v5,idx_fact_relationship_id_2,No,fact_relationship,domain_concept_id_2,asc
omop,v5,idx_fact_relationship_id_3,No,fact_relationship,relationship_concept_id,asc
omop,v5,idx_measurement_concept_id,No,measurement,measurement_concept_id,asc
omop,v5,idx_measurement_person_id,No,measurement,person_id,asc
omop,v5,idx_measurement_visit_id,No,measurement,visit_occurrence_id,asc
omop,v5,idx_note_concept_id,No,note,note_type_concept_id,asc
omop,v5,idx_note_person_id,No,note,person_id,asc
omop,v5,idx_note_visit_id,No,note,visit_occurrence_id,asc
omop,v5,idx_observation_concept_id,No,observation,observation_concept_id,asc
omop,v5,idx_observation_person_id,No,observation,person_id,asc
omop,v5,idx_observation_visit_id,No,observation,visit_occurrence_id,asc
omop,v5,idx_observation_period_id,No,observation_period,person_id,asc
omop,v5,idx_period_person_id,No,payer_plan_period,person_id,asc
omop,v5,idx_person_id,Yes,person,person_id,asc
omop,v5,idx_procedure_person_id,No,procedure_occurrence,person_id,asc
omop,v5,idx_procedure_concept_id,No,procedure_occurrence,procedure_concept_id,asc
omop,v5,idx_procedure_visit_id,No,procedure_occurrence,visit_occurrence_id,asc
omop,v5,idx_relationship_rel_id,Yes,relationship,relationship_id,asc
omop,v5,idx_source_to_concept_map_code,No,source_to_concept_map,source_code,asc
omop,v5,idx_source_to_concept_map_id_1,No,source_to_concept_map,source_vocabulary_id,asc
omop,v5,idx_source_to_concept_map_id_3,No,source_to_concept_map,target_concept_id,asc
omop,v5,idx_source_to_concept_map_id_2,No,source_to_concept_map,target_vocabulary_id,asc
omop,v5,idx_specimen_person_id,No,specimen,person_id,asc
omop,v5,idx_specimen_concept_id,No,specimen,specimen_concept_id,asc
omop,v5,idx_visit_person_id,No,visit_occurrence,person_id,asc
omop,v5,idx_visit_concept_id,No,visit_occurrence,visit_concept_id,asc
omop,v5,idx_vocabulary_vocabulary_id,Yes,vocabulary,vocabulary_id,asc
