model,version,type,table,field,name
pcornet,v6.1,not null,demographic,patid,
pcornet,v6.1,not null,enrollment,patid,
pcornet,v6.1,not null,enrollment,enr_start_date,
pcornet,v6.1,not null,enrollment,enr_basis,
pcornet,v6.1,not null,encounter,encounterid,
pcornet,v6.1,not null,encounter,patid,
pcornet,v6.1,not null,encounter,admit_date,
pcornet,v6.1,not null,encounter,enc_type,
pcornet,v6.1,not null,diagnosis,diagnosisid,
pcornet,v6.1,not null,diagnosis,patid,
pcornet,v6.1,not null,diagnosis,encounterid,
pcornet,v6.1,not null,diagnosis,dx,
pcornet,v6.1,not null,diagnosis,dx_type,
pcornet,v6.1,not null,diagnosis,dx_source,
pcornet,v6.1,not null,procedures,proceduresid,
pcornet,v6.1,not null,procedures,patid,
pcornet,v6.1,not null,procedures,encounterid,
pcornet,v6.1,not null,procedures,px,
pcornet,v6.1,not null,procedures,px_type,
pcornet,v6.1,not null,vital,vitalid,
pcornet,v6.1,not null,vital,patid,
pcornet,v6.1,not null,vital,measure_date,
pcornet,v6.1,not null,vital,vital_source,
pcornet,v6.1,not null,dispensing,dispensingid,
pcornet,v6.1,not null,dispensing,patid,
pcornet,v6.1,not null,dispensing,dispense_date,
pcornet,v6.1,not null,dispensing,ndc,
pcornet,v6.1,not null,lab_result_cm,lab_result_cm_id,
pcornet,v6.1,not null,lab_result_cm,patid,
pcornet,v6.1,not null,lab_result_cm,result_date,
pcornet,v6.1,not null,condition,conditionid,
pcornet,v6.1,not null,condition,patid,
pcornet,v6.1,not null,condition,condition,
pcornet,v6.1,not null,condition,condition_type,
pcornet,v6.1,not null,condition,condition_source,
pcornet,v6.1,not null,pro_cm,pro_cm_id,
pcornet,v6.1,not null,pro_cm,patid,
pcornet,v6.1,not null,pro_cm,pro_item,
pcornet,v6.1,not null,pro_cm,pro_date,
pcornet,v6.1,not null,pro_cm,pro_response,
pcornet,v6.1,not null,prescribing,prescribingid,
pcornet,v6.1,not null,prescribing,patid,
pcornet,v6.1,not null,pcornet_trial,patid,
pcornet,v6.1,not null,pcornet_trial,trialid,
pcornet,v6.1,not null,pcornet_trial,participantid,
pcornet,v6.1,not null,death,patid,
pcornet,v6.1,not null,death,death_source,
pcornet,v6.1,not null,death_cause,patid,
pcornet,v6.1,not null,death_cause,death_cause,
pcornet,v6.1,not null,death_cause,death_cause_code,
pcornet,v6.1,not null,death_cause,death_cause_type,
pcornet,v6.1,not null,death_cause,death_cause_source,
pcornet,v6.1,not null,harvest,networkid,
pcornet,v6.1,not null,harvest,datamartid,
pcornet,v6.1,not null,obs_gen,obsgenid,
pcornet,v6.1,not null,obs_gen,patid,
pcornet,v6.1,not null,obs_gen,obsgen_start_date,
pcornet,v6.1,not null,obs_clin,obsclinid,
pcornet,v6.1,not null,obs_clin,patid,
pcornet,v6.1,not null,obs_clin,obsclin_start_date,
pcornet,v6.1,not null,provider,providerid,
pcornet,v6.1,not null,med_admin,medadminid,
pcornet,v6.1,not null,med_admin,patid,
pcornet,v6.1,not null,med_admin,medadmin_start_date,
pcornet,v6.1,not null,hash_token,patid,
pcornet,v6.1,not null,lds_address_history,patid,
pcornet,v6.1,not null,lds_address_history,addressid,
pcornet,v6.1,not null,lds_address_history,address_use,
pcornet,v6.1,not null,lds_address_history,address_type,
pcornet,v6.1,not null,lds_address_history,address_preferred,
pcornet,v6.1,not null,immunization,immunizationid,
pcornet,v6.1,not null,immunization,patid,
pcornet,v6.1,not null,immunization,vx_code,
pcornet,v6.1,not null,immunization,vx_code_type,
pcornet,v6.1,not null,immunization,vx_status,
pcornet,v6.1,not null,private_address_history,addressid,
pcornet,v6.1,not null,private_address_history,patid,
pcornet,v6.1,not null,private_address_history,address_use,
pcornet,v6.1,not null,private_address_history,address_type,
pcornet,v6.1,not null,private_address_history,address_preferred,
pcornet,v6.1,not null,private_address_geocode,geocodeid,
pcornet,v6.1,not null,private_address_geocode,addressid,
pcornet,v6.1,not null,private_demographic,patid,
pcornet,v6.1,not null,private_demographic,pat_firstname,
pcornet,v6.1,not null,private_demographic,pat_lastname,
pcornet,v6.1,not null,lab_history,labhistoryid,
pcornet,v6.1,not null,lab_history,lab_loinc,
