model,version,table,field,type,name
pedsnet,1.0.0,source_to_concept_map,source_vocabulary_id,primary key,xpk_source_to_concept_map
pedsnet,1.0.0,source_to_concept_map,target_concept_id,primary key,xpk_source_to_concept_map
pedsnet,1.0.0,source_to_concept_map,source_code,primary key,xpk_source_to_concept_map
pedsnet,1.0.0,source_to_concept_map,valid_end_date,primary key,xpk_source_to_concept_map
pedsnet,1.0.0,source_to_concept_map,source_code,not null,
pedsnet,1.0.0,source_to_concept_map,source_vocabulary_id,not null,
pedsnet,1.0.0,source_to_concept_map,target_concept_id,not null,
pedsnet,1.0.0,source_to_concept_map,target_vocabulary_id,not null,
pedsnet,1.0.0,source_to_concept_map,valid_end_date,not null,
pedsnet,1.0.0,source_to_concept_map,valid_start_date,not null,
