model,version,type,name,table,field
omop,v4,not null,,cohort,cohort_concept_id
omop,v4,not null,,cohort,cohort_start_date
omop,v4,not null,,cohort,subject_id
omop,v4,not null,,concept,concept_class
omop,v4,not null,,concept,concept_code
omop,v4,not null,,concept,concept_level
omop,v4,not null,,concept,concept_name
omop,v4,not null,,concept,valid_end_date
omop,v4,not null,,concept,valid_start_date
omop,v4,not null,,concept,vocabulary_id
omop,v4,not null,,concept_ancestor,ancestor_concept_id
omop,v4,not null,,concept_ancestor,descendant_concept_id
omop,v4,not null,,concept_relationship,concept_id_1
omop,v4,not null,,concept_relationship,concept_id_2
omop,v4,not null,,concept_relationship,relationship_id
omop,v4,not null,,concept_relationship,valid_end_date
omop,v4,not null,,concept_relationship,valid_start_date
omop,v4,not null,,concept_synonym,concept_id
omop,v4,not null,,concept_synonym,concept_synonym_name
omop,v4,not null,,concept_synonym,concept_synonym_id
omop,v4,not null,,condition_era,condition_concept_id
omop,v4,not null,,condition_era,condition_era_end_date
omop,v4,not null,,condition_era,condition_era_start_date
omop,v4,not null,,condition_era,condition_type_concept_id
omop,v4,not null,,condition_era,person_id
omop,v4,not null,,condition_occurrence,condition_concept_id
omop,v4,not null,,condition_occurrence,condition_start_date
omop,v4,not null,,condition_occurrence,condition_type_concept_id
omop,v4,not null,,condition_occurrence,person_id
omop,v4,not null,,death,death_date
omop,v4,not null,,drug_approval,ingredient_concept_id
omop,v4,not null,,drug_approval,approval_date
omop,v4,not null,,drug_approval,approved_by
omop,v4,not null,,drug_cost,drug_exposure_id
omop,v4,not null,,drug_era,drug_concept_id
omop,v4,not null,,drug_era,drug_era_end_date
omop,v4,not null,,drug_era,drug_era_start_date
omop,v4,not null,,drug_era,drug_type_concept_id
omop,v4,not null,,drug_era,person_id
omop,v4,not null,,drug_exposure,drug_concept_id
omop,v4,not null,,drug_exposure,drug_exposure_start_date
omop,v4,not null,,drug_exposure,drug_type_concept_id
omop,v4,not null,,drug_exposure,person_id
omop,v4,not null,,drug_strength,drug_concept_id
omop,v4,not null,,drug_strength,ingredient_concept_id
omop,v4,not null,,drug_strength,valid_start_date
omop,v4,not null,,drug_strength,valid_end_date
omop,v4,not null,,observation,associated_provider_id
omop,v4,not null,,observation,observation_concept_id
omop,v4,not null,,observation,observation_date
omop,v4,not null,,observation,observation_type_concept_id
omop,v4,not null,,observation,person_id
omop,v4,not null,,observation_period,observation_period_start_date
omop,v4,not null,,observation_period,observation_period_end_date
omop,v4,not null,,observation_period,person_id
omop,v4,not null,,organization,organization_id
omop,v4,not null,,payer_plan_period,payer_plan_period_end_date
omop,v4,not null,,payer_plan_period,payer_plan_period_start_date
omop,v4,not null,,payer_plan_period,person_id
omop,v4,not null,,person,gender_concept_id
omop,v4,not null,,person,year_of_birth
omop,v4,not null,,procedure_cost,procedure_occurrence_id
omop,v4,not null,,procedure_occurrence,person_id
omop,v4,not null,,procedure_occurrence,procedure_concept_id
omop,v4,not null,,procedure_occurrence,procedure_date
omop,v4,not null,,procedure_occurrence,procedure_type_concept_id
omop,v4,not null,,provider,provider_source_value
omop,v4,not null,,relationship,defines_ancestry
omop,v4,not null,,relationship,is_hierarchical
omop,v4,not null,,relationship,relationship_name
omop,v4,not null,,source_to_concept_map,source_code
omop,v4,not null,,source_to_concept_map,source_code
omop,v4,not null,,source_to_concept_map,source_vocabulary_id
omop,v4,not null,,source_to_concept_map,target_concept_id
omop,v4,not null,,source_to_concept_map,target_vocabulary_id
omop,v4,not null,,source_to_concept_map,valid_end_date
omop,v4,not null,,source_to_concept_map,valid_start_date
omop,v4,not null,,visit_occurrence,person_id
omop,v4,not null,,visit_occurrence,visit_start_date
omop,v4,not null,,visit_occurrence,visit_end_date
omop,v4,not null,,visit_occurrence,place_of_service_concept_id
omop,v4,not null,,vocabulary,vocabulary_id
omop,v4,not null,,vocabulary,vocabulary_name
