model,version,type,name,table,field
omop,v4,primary key,xpk_care_site,care_site,care_site_id
omop,v4,primary key,xpk_cohort,cohort,cohort_id
omop,v4,primary key,xpk_concept,concept,concept_id
omop,v4,primary key,xpk_concept_ancestor,concept_ancestor,ancestor_concept_id
omop,v4,primary key,xpk_concept_ancestor,concept_ancestor,descendant_concept_id
omop,v4,primary key,xpk_concept_relationship,concept_relationship,concept_id_1
omop,v4,primary key,xpk_concept_relationship,concept_relationship,concept_id_2
omop,v4,primary key,xpk_concept_relationship,concept_relationship,relationship_id
omop,v4,primary key,xpk_concept_synonym,concept_synonym,concept_synonym_id
omop,v4,primary key,xpk_condition_era,condition_era,condition_era_id
omop,v4,primary key,xpk_condition_occurrence,condition_occurrence,condition_occurrence_id
omop,v4,primary key,xpk_death,death,person_id
omop,v4,primary key,xpk_death,death,death_type_concept_id
omop,v4,primary key,xpk_drug_cost,drug_cost,drug_cost_id
omop,v4,primary key,xpk_drug_era,drug_era,drug_era_id
omop,v4,primary key,xpk_drug_exposure,drug_exposure,drug_exposure_id
omop,v4,primary key,xpk_location,location,location_id
omop,v4,primary key,xpk_observation,observation,observation_id
omop,v4,primary key,xpk_observation_period,observation_period,observation_period_id
omop,v4,primary key,xpk_organization,organization,organization_id
omop,v4,primary key,xpk_payer_plan_period,payer_plan_period,payer_plan_period_id
omop,v4,primary key,xpk_person,person,person_id
omop,v4,primary key,xpk_procedure_cost,procedure_cost,procedure_cost_id
omop,v4,primary key,xpk_procedure_occurrence,procedure_occurrence,procedure_occurrence_id
omop,v4,primary key,xpk_provider,provider,provider_id
omop,v4,primary key,xpk_relationship,relationship,relationship_id
omop,v4,primary key,xpk_source_to_concept_map,source_to_concept_map,source_vocabulary_id
omop,v4,primary key,xpk_source_to_concept_map,source_to_concept_map,target_concept_id
omop,v4,primary key,xpk_source_to_concept_map,source_to_concept_map,source_code
omop,v4,primary key,xpk_source_to_concept_map,source_to_concept_map,valid_end_date
omop,v4,primary key,xpk_visit_occurrence,visit_occurrence,visit_occurrence_id
omop,v4,primary key,xpk_vocabulary,vocabulary,vocabulary_id
