model,version,table,field,required,ref_table,ref_field,standard,description
omop,v5,condition_occurrence,condition_concept_id,Yes,concept,concept_id,SNOMED,A foreign key that refers to a standard condition concept identifier in the vocabulary. 
omop,v5,condition_occurrence,condition_end_date,No,,,,The date when the instance of the condition is considered to have ended. This is not typically recorded. 
omop,v5,condition_occurrence,condition_occurrence_id,Yes,,,,A system-generated unique identifier for each condition occurrence event. 
omop,v5,condition_occurrence,condition_source_concept_id,No,concept,concept_id,,A foreign key to a condition concept that refers to the code used in the source. 
omop,v5,condition_occurrence,condition_source_value,No,,,,"The source code for the condition as it appears in the source data. This code is mapped to a standard condition concept in the vocabulary and the original code is, stored here for reference. Condition source codes are typically ICD-9-CM diagnosis codes from medical claims or discharge status/disposition codes from EHRs. "
omop,v5,condition_occurrence,condition_start_date,Yes,,,,The date when the instance of the condition is recorded. 
omop,v5,condition_occurrence,condition_type_concept_id,Yes,concept,concept_id,OMOP,"A foreign key to the predefined concept identifier in the vocabulary reflecting the source data from which the condition was recorded, the level of standardization, and the type of occurrence. Conditions are defined as primary or secondary diagnoses, problem lists and person statuses. "
omop,v5,condition_occurrence,person_id,Yes,person,person_id,,A foreign key identifier to the person who is experiencing the condition. The demographic details of that person are stored in the person table. 
omop,v5,condition_occurrence,provider_id,No,provider,provider_id,,A foreign key to the provider in the provider table who was responsible for determining (diagnosing) the condition. 
omop,v5,condition_occurrence,stop_reason,No,,,,"The reason, if available, that the condition was no longer recorded, as indicated in the source data. Valid values include discharged, resolved, etc. "
omop,v5,condition_occurrence,visit_occurrence_id,No,visit_occurrence,visit_occurrence_id,,A foreign key to the visit in the visit table during which the condition was determined (diagnosed). 
