TABLE_NAME,FIELD_NAME,DATA_TYPE,DATA_FORMAT,REPLICATED,UNIT_OF_MEASURE,VALUE_DESCRIPTION,DEFINITION,CDM_ORDER
DIAGNOSIS,PDX,TEXT(2),,NO,,"P = PrincipalS = SecondaryX = Unable to ClassifyNI = No informationUN = UnknownOT = Other","Principal discharge diagnosis flag. Relevant only on IP and IS encounters. For ED, AV, and OA encounter types, mark as X = Unable to Classify. (Billing systems do not require a primary diagnosis for ambulatory visits (eg, professional services))One principal diagnosis is expected, although in some instances more than one diagnosis may be flagged as principal.",45
DIAGNOSIS,RAW_DX,TEXT(x),,NO,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set.",46
DIAGNOSIS,RAW_DX_TYPE,TEXT(x),,NO,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set.",47
DIAGNOSIS,RAW_DX_SOURCE,TEXT(x),,NO,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set.",48
DIAGNOSIS,RAW_PDX,TEXT(x),,NO,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set.",49
PROCEDURE,PATID,TEXT(x),,NO,,,Arbitrary person-level identifier. Used to link across tables.,50
PROCEDURE,ENCOUNTERID,TEXT(x),,NO,,,Arbitrary encounter-level identifier. Used to link across tables.,51
PROCEDURE,ENC_TYPE,TEXT(2),,YES,,"AV = Ambulatory VisitED = Emergency Department EI = Emergency Department Admit to Inpatient Hospital Stay (permissible substitution)IP = Inpatient Hospital StayIS = Non-Acute Institutional StayOA = Other Ambulatory VisitNI = No informationUN = UnknownOT = Other",Please note: This is a field replicated from the ENCOUNTER table. See ENCOUNTER table for definitions.,52
PROCEDURE,ADMIT_DATE,TEXT(10),YYYY-MM-DD,YES,DATE,,Please note: This is a field replicated from the ENCOUNTER table. See ENCOUNTER table for definitions.,53
PROCEDURE,PROVIDERID,TEXT(x),,YES,,,Please note: This is a field replicated from the ENCOUNTER table. See ENCOUNTER table for definitions.,54
PROCEDURE,PX_DATE,TEXT(10),YYYY-MM-DD,NO,DATE,,Date the procedure was performed.,55
PROCEDURE,PX,TEXT(11),,NO,,,Procedure code.,56
PROCEDURE,PX_TYPE,TEXT(2),,NO,,"09 = ICD-9-CM10 = ICD-10-PCS11 = ICD-11-PCSC2 = CPT Category IIC3 = CPT Category IIIC4 = CPT-4 (i.e., HCPCS Level I)H3 = HCPCS Level IIIHC = HCPCS (i.e., HCPCS Level II)LC = LOINCND = NDCRE = RevenueNI = No informationUN = UnknownOT = Other","Procedure code type.We include a number of code types for flexibility, but the basic requirement that the code refer to a medical procedure remains.Revenue codes are a standard concept in Medicare billing and can be useful for defining care settings. If those codes are available they can be included.Medications administered by clinicians can be captured in billing data and Electronic Health Records (EHRs) as HCPCS procedure codes. Administration (infusion) of chemotherapy is an example. We are now seeing NDCs captured as part of procedures because payers are demanding it for payment authorization. Inclusion of this code type enables those data partners that capture the NDC along with the procedure to include the data.Please note: The “Other” category is meant to identify internal use ontologies and codes.",57
PROCEDURE,PX_SOURCE,TEXT(x),,NO,,"OD = Order BI = Billing CL = Claim NI = No information UN = Unknown OT = Other","Source of the procedure information.  Order and billing pertain to internal healthcare processes and data sources. Claim pertains to data from the bill fulfillment, generally data sources held by insurers and other health plans.",58
PROCEDURE,RAW_PX,TEXT(x),,NO,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set.",59
PROCEDURE,RAW_PX_TYPE,TEXT(x),,NO,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set.",60
VITAL,PATID,TEXT(x),,NO,,,Arbitrary person-level identifier. Used to link across tables.,61
VITAL,ENCOUNTERID,TEXT(x),,NO,,,Arbitrary encounter-level identifier. This is an optional relationship; the ENCOUNTERID should be present if the vitals were measured as part of healthcare delivery.,62
VITAL,MEASURE_DATE,TEXT(10),YYYY-MM-DD,NO,DATE,,Date of vitals measure.,63
VITAL,MEASURE_TIME,TEXT(5),HH:MI (24-hour clock and zero padding),NO,TIME,,Time of vitals measure.,64
VITAL,VITAL_SOURCE,TEXT(2),,NO,,"PR = Patient-reported PD = Patient device direct feedHC = Healthcare delivery setting HD = Healthcare device direct feedNI = No informationUN = UnknownOT = Other","Please note: The “Patient-reported” category can include reporting by patient’s family or guardian.  If unknown whether data are received directly from a device feed, use the more general context (such as patient-reported, healthcare delivery setting, or registry).",65
VITAL,HT,NUMBER(8),,NO,INCH,,"Height (in inches) measured by standing. Only populated if measure was taken on this date. If missing, leave blank. Decimal precision is permissible.",66
VITAL,WT,NUMBER(8),,NO,POUND,,"Weight (in pounds). Only populated if measure was taken on this date. If missing, leave blank. Decimal precision is permissible.",67
VITAL,DIASTOLIC,NUMBER(4),,NO,MMHG,,"Diastolic blood pressure (in mmHg). Only populated if measure was taken on this date. If missing, leave blank. Only report 1 reading per encounter.",68
VITAL,SYSTOLIC,NUMBER(4),,NO,MMHG,,"Systolic blood pressure (in mmHg). Only populated if measure was taken on this date. If missing, leave blank. Only report 1 reading per encounter.",69
VITAL,ORIGINAL_BMI,NUMBER(8),,NO,,,"BMI if calculated in the source system.Important: Please do not calculate BMI during CDM implementation. This field should only reflect originating source system calculations, if height and weight are not stored in the source.",70
VITAL,BP_POSITION,TEXT(2),,NO,,"01 = Sitting02 = Standing03 = SupineNI = No informationUN = UnknownOT = Other",Position for orthostatic blood pressure. Leave blank if blood pressure was not measured.,71
VITAL,TOBACCO,TEXT(2),,NO,,"01 = Current every day smoker 02 = Current some day smoker 03 = Former smoker 04 = Never smoker 05 = Smoker, current status unknown 06 = Unknown if ever smoked 07 = Heavy tobacco smoker 08 = Light tobacco smoker NI = No information UN = Unknown OT = Other",The values of “Heavy tobacco smoker” and “Light tobacco smoker” will be assumed to imply a smoking status of current.,72
VITAL,TOBACCO_TYPE,TEXT(2),,NO,,"01 = Cigarettes only 02 = Other tobacco only 03 = Cigarettes and other tobacco 04 = None NI = No information UN = Unknown OT = Other",Type(s) of tobacco used.,73
VITAL,RAW_DIASTOLIC,TEXT(x),,NO,,,"Optional field for originating value of field, prior to formatting into the PCORnet CDM.",74
VITAL,RAW_SYSTOLIC,TEXT(x),,NO,,,"Optional field for originating value of field, prior to formatting into the PCORnet CDM.",75
VITAL,RAW_BP_POSITION,TEXT(x),,NO,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set.",76
VITAL,RAW_TOBACCO,TEXT(x),,NO,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set.",77
VITAL,RAW_TOBACCO_TYPE,TEXT(x),,NO,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set.",78
DISPENSING,PATID,TEXT(x),,YES,,,Arbitrary person-level identifier. Used to link across tables.,79
DISPENSING,DISPENSE_DATE,TEXT(10),YYYY-MM-DD,YES,DATE,,Dispensing date (as close as possible to date the person received the dispensing).,80
DISPENSING,NDC,TEXT(11),,YES,,,"National Drug Code in the 11-digit, no-dash, HIPAA format.  Please expunge any place holders (such as dashes or extra digits).  If needed, guidance on normalization for other forms of NDC can be found: http://www.nlm.nih.gov/research/umls/rxnorm/docs/2012/rx_norm_doco_full_2012-1.html (see section 6)",81
DISPENSING,DISPENSE_SUP,NUMBER(4),,NO,,,"Days supply. Number of days that the medication supports based on the number of doses as reported by the pharmacist. This amount is typically found on the dispensing record. Integer values are expected.  Important: Please do not calculate during CDM implementation. This field should only reflect originating source system calculations.",82
DISPENSING,DISPENSE_AMT,NUMBER(4),,NO,,,"Number of units (pills, tablets, vials) dispensed. Net amount per NDC per dispensing. This amount is typically found on the dispensing record. Positive values are expected.  Important: Please do not calculate during CDM implementation. This field should only reflect originating source system calculations.",83
DISPENSING,RAW_NDC,TEXT(x),,NO,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set.",84
LAB_RESULT_CM,PATID,TEXT(x),,NO,,,Arbitrary person-level identifier. Used to link across tables.,85
LAB_RESULT_CM,ENCOUNTERID,TEXT(x),,NO,,,"Arbitrary encounter-level identifier used to link across tables. This is an optional field, and should only be populated if the lab was collected as part of a healthcare encounter.",86
LAB_RESULT_CM,LAB_NAME,TEXT(10),,NO,,"A1C = Hemoglobin A1c CK = Creatine kinase total CK_MB = Creatine kinase MB CK_MBI = Creatine kinase MB/creatine kinase total CREATININE = Creatinine HGB = Hemoglobin LDL = Low-density lipoprotein INR = International normalized ratio TROP_I = Troponin I cardiac TROP_T_QL = Troponin T cardiac (qualitative) TROP_T_QN = Troponin T cardiac (quantitative)","Laboratory result common measure, a categorical identification for the type of test, which is harmonized across all contributing data partners.  Please note that it is possible for more than one LOINC code, CPT code, and/or local code to be associated with one LAB_NAME.",87
LAB_RESULT_CM,SPECIMEN_SOURCE,TEXT(10),,NO,,"BLOOD = blood CSF = cerebrospinal fluid PLASMA = plasma PPP = platelet poor plasma SERUM = serum SR_PLS = serum/plasma URINE = urine NI = No information UN = Unknown OT = Other",Specimen source. All records will have a specimen source; some tests have several possible values for SPECIMEN_SOURCE. Please see the reference tables for additional details.,88
LAB_RESULT_CM,LAB_LOINC,TEXT(10),,NO,,,"Logical Observation Identifiers, Names, and Codes (LOINC) from the Regenstrief Institute. Results with local versions of LOINC codes (e.g., LOINC candidate codes) should be included in the RAW_ table field, but the LOINC variable should be set to missing. Current LOINC codes are from 3-7 characters long but Regenstrief suggests a length of 10 for future growth. The last digit of the LOINC code is a check digit and is always preceded by a hyphen. All parts of the LOINC code, including the hyphen, must be included. Do not pad the LOINC code with leading zeros.  Please see the LOINC reference table for known LOINC codes for each LAB_NAME.",89
LAB_RESULT_CM,PRIORITY,TEXT(2),,NO,,"E = Expedite R = Routine S = Stat NI = No information UN = Unknown OT = Other",Immediacy of test. The intent of this variable is to determine whether the test was obtained as part of routine care or as an emergent/urgent diagnostic test (designated as Stat or Expedite).,90
LAB_RESULT_CM,RESULT_LOC,TEXT(2),,NO,,"L = Lab P = Point of Care NI = No information UN = Unknown OT = Other","Location of the test result. Point of Care locations may include anticoagulation clinic, newborn nursery, finger stick in provider office, or home. The default value is ‘L’ unless the result is Point of Care. There should not be any missing values.",91
LAB_RESULT_CM,LAB_PX,TEXT(11),,NO,,,"Optional variable for local and standard procedure codes, used to identify the originating order for the lab test.",92
LAB_RESULT_CM,LAB_PX_TYPE,TEXT(2),,NO,,"09 = ICD-9-CM 10 = ICD-10-PCS 11 = ICD-11-PCS C2 = CPT Category II C3 = CPT Category III C4 = CPT-4 (i.e., HCPCS Level I) H3 = HCPCS Level III HC = HCPCS (i.e., HCPCS Level II) LC = LOINC ND = NDC RE = Revenue NI = No information UN = Unknown OT = Other","Procedure code type, if applicable. ",93
LAB_RESULT_CM,LAB_ORDER_DATE,TEXT(10),YYYY-MM-DD,NO,DATE,,Date test was ordered.,94
LAB_RESULT_CM,SPECIMEN_DATE,TEXT(10),YYYY-MM-DD,NO,DATE,,Date specimen was collected.,95
LAB_RESULT_CM,SPECIMEN_TIME,TEXT(5),HH:MI (24-hour clock and zero padding),NO,TIME,,Time specimen was collected.,96
LAB_RESULT_CM,RESULT_DATE,TEXT(10),YYYY-MM-DD,NO,DATE,,Result date.,97
LAB_RESULT_CM,RESULT_TIME,TEXT(5),HH:MI (24-hour clock and zero padding),NO,TIME,,Result time.,98
LAB_RESULT_CM,RESULT_QUAL,TEXT(12),,NO,,"BORDERLINE POSITIVE NEGATIVE UNDETERMINED NI = No information UN = Unknown OT = Other",Standardized result for qualitative results. This variable should be NI for quantitative results. Please see the reference tables for additional details and information on acceptable values for each qualitative LAB_NAME.,99
LAB_RESULT_CM,RESULT_NUM,NUMBER(8),,NO,,,Standardized/converted result for quantitative results. This variable should be left blank for qualitative results. Please see the reference tables for additional details.,100
LAB_RESULT_CM,RESULT_MODIFIER,TEXT(2),,NO,,"EQ = Equal GE = Greater than or equal to GT = Greater than LE = Less than or equal to LT = Less than TX = Text NI = No information UN = Unknown OT = Other","Modifier for result values. Any symbols in the RAW_RESULT value should be reflected in the RESULT_MODIFIER variable.  For example, if the original source data value is ""<=200"" then RAW_RESULT=200 and RESULT_MODIFIER=LE. If the original source data value is text then RESULT_MODIFIER=TX. If the original source data value is a numeric value then RESULT_MODIFIER=EQ.",101
LAB_RESULT_CM,RESULT_UNIT,TEXT(11),,NO,,,Converted/standardized units for the result. Please see the standard abbreviations reference table for additional details.,102
LAB_RESULT_CM,NORM_RANGE_LOW,TEXT(10),,NO,,,"Lower bound of the normal range assigned by the laboratory. Value should only contain the value of the lower bound. The symbols >, <, >=, <= should be removed. For example, if the normal range for a test is >100 and <300, then ""100"" should be entered.",103
LAB_RESULT_CM,MODIFIER_LOW,TEXT(2),,NO,,"EQ = Equal GE = Greater than or equal to GT = Greater than NO = No lower limit NI = No information UN = Unknown OT = Other","Modifier for NORM_RANGE_LOW values.  For numeric results one of the following needs to be true: 1) Both MODIFIER_LOW and MODIFIER_HIGH contain EQ (e.g. normal values fall in the range 3-10) 2) MODIFIER_LOW contains GT or GE and MODIFIER_HIGH contains NO (e.g. normal values are >3 with no upper boundary) 3) MODIFIER_HIGH contains LT or LE and MODIFIER_LOW contains NO (e.g. normal values are <=10 with no lower boundary)",104
LAB_RESULT_CM,NORM_RANGE_HIGH,TEXT(10),,NO,,,"Upper bound of the normal range assigned by the laboratory. Value should only contain the value of the upper bound. The symbols >, <, >=, <= should be removed. For example, if the normal range for a test is >100 and <300, then ""300"" should be entered.",105
LAB_RESULT_CM,MODIFIER_HIGH,TEXT(2),,NO,,"EQ = Equal LE = Less than or equal to LT = Less than NO = No higher limit NI = No information UN = Unknown OT = Other",Modifier for NORM_RANGE_HIGH values. For numeric results one of the following needs to be true: 1) Both MODIFIER_LOW and MODIFIER_HIGH contain EQ (e.g. normal values fall in the range 3-10) 2) MODIFIER_LOW contains GT or GE and MODIFIER_HIGH contains NO (e.g. normal values are >3 with no upper boundary) 3) MODIFIER_HIGH contains LT or LE and MODIFIER_LOW contains NO (e.g. normal values are <=10 with no lower boundary),106
LAB_RESULT_CM,ANB_IND,TEXT(2),,NO,,"AB = Abnormal AH = Abnormally high AL = Abnormally low CH = Critically high CL = Critically low CR = Critical IN = Inconclusive NL = Normal NI = No information UN = Unknown OT = Other",Abnormal result indicator. This value comes from the source data; do not apply logic to create it.,107
LAB_RESULT_CM,RAW_LAB_NAME,TEXT(x),,NO,,,"Local code related to an individual lab test. This variable will not be used in queries, but may be used by local programmers to associate a record with a particular LAB_NAME.",108
LAB_RESULT_CM,RAW_LAB_CODE,TEXT(x),,NO,,,"Local code related to an individual lab test. This variable will not be used in queries, but may be used by local programmers to associate a record with a particular LAB_NAME.",109
LAB_RESULT_CM,RAW_PANEL,TEXT(x),,NO,,,"Local code related to a battery or panel of lab tests. This variable will not be used in queries, but may be used by local programmers to associate a record with a particular LAB_NAME.",110
LAB_RESULT_CM,RAW_RESULT,TEXT(x),,NO,,,"The original test result value as seen in your source data. Values may include a decimal point, a sign or text (e.g., POSITIVE, NEGATIVE, DETECTED). The symbols >, <, >=, <= should be removed from the value and stored in the Modifier variable instead.",111
LAB_RESULT_CM,RAW_UNIT,TEXT(x),,NO,,,Original units for the result in your source data.,112
LAB_RESULT_CM,RAW_ORDER_DEPT,TEXT(x),,NO,,,Local code for ordering provider department.,113
