target_model,target_version,target_table,target_field,source_model,source_version,source_table,source_field,comment
pedsnet,2.0.0,care_site,care_site_id,omop,5.0.0,care_site,care_site_id,
pedsnet,2.0.0,care_site,care_site_name,omop,5.0.0,care_site,care_site_name,
pedsnet,2.0.0,care_site,care_site_source_value,omop,5.0.0,care_site,care_site_source_value,
pedsnet,2.0.0,care_site,location_id,omop,5.0.0,care_site,location_id,
pedsnet,2.0.0,care_site,place_of_service_concept_id,omop,5.0.0,care_site,place_of_service_concept_id,
pedsnet,2.0.0,care_site,place_of_service_source_value,omop,5.0.0,care_site,place_of_service_source_value,
pedsnet,2.0.0,condition_occurrence,condition_concept_id,omop,5.0.0,condition_occurrence,condition_concept_id,
pedsnet,2.0.0,condition_occurrence,condition_end_date,omop,5.0.0,condition_occurrence,condition_end_date,
pedsnet,2.0.0,condition_occurrence,condition_occurrence_id,omop,5.0.0,condition_occurrence,condition_occurrence_id,
pedsnet,2.0.0,condition_occurrence,condition_source_concept_id,omop,5.0.0,condition_occurrence,condition_source_concept_id,
pedsnet,2.0.0,condition_occurrence,condition_source_value,omop,5.0.0,condition_occurrence,condition_source_value,
pedsnet,2.0.0,condition_occurrence,condition_start_date,omop,5.0.0,condition_occurrence,condition_start_date,
pedsnet,2.0.0,condition_occurrence,condition_type_concept_id,omop,5.0.0,condition_occurrence,condition_type_concept_id,
pedsnet,2.0.0,condition_occurrence,person_id,omop,5.0.0,condition_occurrence,person_id,
pedsnet,2.0.0,condition_occurrence,provider_id,omop,5.0.0,condition_occurrence,provider_id,
pedsnet,2.0.0,condition_occurrence,stop_reason,omop,5.0.0,condition_occurrence,stop_reason,
pedsnet,2.0.0,condition_occurrence,visit_occurrence_id,omop,5.0.0,condition_occurrence,visit_occurrence_id,
pedsnet,2.0.0,death,cause_source_concept_id,omop,5.0.0,death,cause_source_concept_id,
pedsnet,2.0.0,death,death_date,omop,5.0.0,death,death_date,
pedsnet,2.0.0,death,death_type_concept_id,omop,5.0.0,death,death_type_concept_id,
pedsnet,2.0.0,death,person_id,omop,5.0.0,death,person_id,
pedsnet,2.0.0,drug_exposure,days_supply,omop,5.0.0,drug_exposure,days_supply,
pedsnet,2.0.0,drug_exposure,dose_unit_concept_id,omop,5.0.0,drug_exposure,dose_unit_concept_id,
pedsnet,2.0.0,drug_exposure,dose_unit_source_value,omop,5.0.0,drug_exposure,dose_unit_source_value,
pedsnet,2.0.0,drug_exposure,drug_concept_id,omop,5.0.0,drug_exposure,drug_concept_id,
pedsnet,2.0.0,drug_exposure,drug_exposure_end_date,omop,5.0.0,drug_exposure,drug_exposure_end_date,
pedsnet,2.0.0,drug_exposure,drug_exposure_id,omop,5.0.0,drug_exposure,drug_exposure_id,
pedsnet,2.0.0,drug_exposure,drug_exposure_start_date,omop,5.0.0,drug_exposure,drug_exposure_start_date,
pedsnet,2.0.0,drug_exposure,drug_source_concept_id,omop,5.0.0,drug_exposure,drug_source_concept_id,
pedsnet,2.0.0,drug_exposure,drug_source_value,omop,5.0.0,drug_exposure,drug_source_value,
pedsnet,2.0.0,drug_exposure,drug_type_concept_id,omop,5.0.0,drug_exposure,drug_type_concept_id,
pedsnet,2.0.0,drug_exposure,effective_drug_dose,omop,5.0.0,drug_exposure,effective_drug_dose,
pedsnet,2.0.0,drug_exposure,lot_number,omop,5.0.0,drug_exposure,lot_number,
pedsnet,2.0.0,drug_exposure,person_id,omop,5.0.0,drug_exposure,person_id,
