model,version,type,table,field,name,
pcornet,v7.0,primary key,condition,conditionid,xpk_condition,
pcornet,v7.0,primary key,death,patid,xpk_death,
pcornet,v7.0,primary key,death,death_source,xpk_death,
pcornet,v7.0,primary key,death_cause,patid,xpk_death_cause,
pcornet,v7.0,primary key,death_cause,death_cause,xpk_death_cause,
pcornet,v7.0,primary key,death_cause,death_cause_code,xpk_death_cause,
pcornet,v7.0,primary key,death_cause,death_cause_type,xpk_death_cause,
pcornet,v7.0,primary key,death_cause,death_cause_source,xpk_death_cause,
pcornet,v7.0,primary key,demographic,patid,xpk_demographic,
pcornet,v7.0,primary key,diagnosis,diagnosisid,xpk_diagnosis,
pcornet,v7.0,primary key,dispensing,dispensingid,xpk_dispensing,
pcornet,v7.0,primary key,encounter,encounterid,xpk_encounter,
pcornet,v7.0,primary key,enrollment,patid,xpk_enrollment,
pcornet,v7.0,primary key,enrollment,enr_start_date,xpk_enrollment,
pcornet,v7.0,primary key,enrollment,enr_basis,xpk_enrollment,
pcornet,v7.0,primary key,harvest,networkid,xpk_harvest,
pcornet,v7.0,primary key,harvest,datamartid,xpk_harvest,
pcornet,v7.0,primary key,hash_token,patid,xpk_hashtoken,
pcornet,v7.0,primary key,hash_token,token_encryption_key,xpk_hashtoken,
pcornet,v7.0,primary key,immunization,immunizationid,xpk_immunization,
pcornet,v7.0,primary key,lab_history,labhistoryid,xpk_labhist,
pcornet,v7.0,primary key,lab_result_cm,lab_result_cm_id,xpk_lab_result_cm,
pcornet,v7.0,primary key,lds_address_history,addressid,xpk_ldsaddhist,
pcornet,v7.0,primary key,med_admin,medadminid,xpk_medadminid,
pcornet,v7.0,primary key,obs_clin,obsclinid,xpk_obsclinid,
pcornet,v7.0,primary key,obs_gen,obsgenid,xpk_obsgenid,
pcornet,v7.0,primary key,pcornet_trial,patid,xpk_pcornet_trial,
pcornet,v7.0,primary key,pcornet_trial,trialid,xpk_pcornet_trial,
pcornet,v7.0,primary key,pcornet_trial,participantid,xpk_pcornet_trial,
pcornet,v7.0,primary key,prescribing,prescribingid,xpk_prescribing,
pcornet,v7.0,primary key,private_address_geocode,geocodeid,xpk_private_address_geo,
pcornet,v7.0,primary key,private_address_history,addressid,xpk_private_address_hist,
pcornet,v7.0,primary key,private_demographic,patid,xpk_private_demographic,
pcornet,v7.0,primary key,pro_cm,pro_cm_id,xpk_pro_cm,
pcornet,v7.0,primary key,procedures,proceduresid,xpk_procedures,
pcornet,v7.0,primary key,provider,providerid,xpk_providerid,
pcornet,v7.0,primary key,vital,vitalid,xpk_vitalid,
pcornet,v7.0,primary key,external_meds,extmedid,xpk_external_meds,
