model,version,table,field,required,ref_table,ref_field,description
i2b2,v1.7,visit_dimension,active_status_cd,No,,,
i2b2,v1.7,visit_dimension,download_date,No,,,
i2b2,v1.7,visit_dimension,encounter_num,Yes,,,
i2b2,v1.7,visit_dimension,end_date,No,,,
i2b2,v1.7,visit_dimension,import_date,No,,,
i2b2,v1.7,visit_dimension,inout_cd,No,,,
i2b2,v1.7,visit_dimension,length_of_stay,No,,,
i2b2,v1.7,visit_dimension,location_cd,No,,,
i2b2,v1.7,visit_dimension,location_path,No,,,
i2b2,v1.7,visit_dimension,patient_num,Yes,patient_dimension,patient_num,
i2b2,v1.7,visit_dimension,sourcesystem_cd,No,,,
i2b2,v1.7,visit_dimension,start_date,No,,,
i2b2,v1.7,visit_dimension,update_date,No,,,
i2b2,v1.7,visit_dimension,upload_id,No,,,
i2b2,v1.7,visit_dimension,visit_blob,No,,,
