Table,Field,Required,Ref Table,Ref Field,Type Precision,Standard,Description
person,person_id,Yes,,,integer,,A system-generated unique identifier for each person.
person,gender_concept_id,Yes,concept,concept_id,integer,HL7,A foreign key that refers to a standard concept identifier in the vocabulary for the gender of the person.
person,year_of_birth,Yes,,,number(4),,"The year of birth of the person. For data sources with date of birth, the year is extracted. For data sources where the year of birth is not available, the approximate year of birth is derived based on any age group categorization available. "
person,month_of_birth,No,,,number(2),,"The month of birth of the person. For data sources that provide the precise date of birth, the month is extracted and stored in this field. "
person,day_of_birth,No,,,number(2),,"The day of the month of birth of the person. For data sources that provide the precise date of birth, the day is extracted and stored in this field. "
person,race_concept_id,No,concept,concept_id,integer,"OMB, CDC",A foreign key that refers to a standard concept identifier in the vocabulary for the race of the person.
person,ethnicity_concept_id,No,concept,concept_id,integer,OMB,A foreign key that refers to the standard concept identifier in the vocabulary for the ethnicity of the person.
person,location_id,No,location,location_id,integer,,"A foreign key to the place of residency for the person in the location table, where the detailed address information is stored. "
person,provider_id,No,provider,provider_id,integer,,A foreign key to the primary care provider the person is seeing in the provider table.
person,care_site_id,No,care_site,care_site_id,integer,,"A foreign key to the primary care site in the care site table, where the details of the care site are stored. "
person,person_source_value,No,,,string(50),,An encrypted key derived from the person identifier in the source data. This is necessary when a drug safety issue requires a link back to the person data at the source dataset. No value with any medical or demographic significance must be stored.
person,gender_source_value,No,,,string(50),,"The source code for the gender of the person as it appears in the source data. The person gender is mapped to a standard gender concept in the vocabulary and the corresponding concept identifier is, stored here for reference. "
person,race_source_value,No,,,string(50),,"The source code for the race of the person as it appears in the source data. The person race is mapped to a standard race concept in the vocabulary and the original code is, stored here for reference. "
person,ethnicity_source_value,No,,,string(50),,"The source code for the ethnicity of the person as it appears in the source data. The person ethnicity is mapped to a standard ethnicity concept in the vocabulary and the original code is, stored here for reference. "
drug_exposure,drug_exposure_id,Yes,,,integer,,A system-generated unique identifier for each drug utilization event.
drug_exposure,person_id,Yes,person,person_id,integer,,A foreign key identifier to the person who is subjected to the drug. The demographic details of that person are stored in the person table.
drug_exposure,drug_concept_id,Yes,concept,concept_id,integer,RxNorm,A foreign key that refers to a standard concept identifier in the vocabulary for the drug concept.
drug_exposure,drug_exposure_start_date,Yes,,,date,,"The start date for the current instance of drug utilization. Valid entries include a start date of a prescription, the date a prescription was filled, or the date on which a drug administration procedure was recorded. "
drug_exposure,drug_exposure_end_date,No,,,date,,The end date for the current instance of drug utilization. It is not available from all sources.
drug_exposure,drug_type_concept_id,Yes,concept,concept_id,integer,OMOP,"A foreign key to the predefined concept identifier in the vocabulary reflecting the type of drug exposure recorded. It indicates how the drug exposure was represented in the source data: as medication history, filled prescriptions, etc. "
drug_exposure,stop_reason,No,,,string(20),,"The reason the medication was stopped, where available. Reasons include regimen completed, changed, removed, etc. "
drug_exposure,refills,No,,,number(3),,"The number of refills after the initial prescription. The initial prescription is not counted, values start with 0. "
drug_exposure,quantity,No,,,number(4),,The quantity of drug as recorded in the original prescription or dispensing record.
drug_exposure,days_supply,No,,,number(4),,The number of days of supply of the medication as recorded in the original prescription or dispensing record.
drug_exposure,sig,No,,,string(500),,"The directions (""signetur"") on the drug prescription as recorded in the original prescription (and printed on the container) or dispensing record. "
drug_exposure,prescribing_provider_id,No,provider,provider_id,integer,,A foreign key to the provider in the provider table who initiated (prescribed) the drug exposure.
drug_exposure,visit_occurrence_id,No,visit_occurrence,visit_occurrence_id,integer,,A foreign key to the visit in the visit table during which the drug exposure initiated.
drug_exposure,relevant_condition_concept_id,No,concept,concept_id,integer,SNOMED,"A foreign key to the predefined concept identifier in the vocabulary reflecting the condition that was the cause for initiation of the drug exposure. Note that this is not a direct reference to a specific condition record in the condition table, but rather a condition concept in the vocabulary. "
drug_exposure,drug_source_value,No,,,string(50),,"The source code for the drug as it appears in the source data. This code is mapped to a standard drug concept in the vocabulary and the original code is, stored here for reference. "
drug_era,drug_era_id,Yes,,,integer,,A system-generated unique identifier for each drug era.
drug_era,person_id,Yes,person,person_id,integer,,A foreign key identifier to the person who is subjected to the drug during the drug era. The demographic details of that person are stored in the person table.
