model,version,table,description,,
pcornet,v7.0,condition,A condition represents a patient’s diagnosed and self-reported health conditions and diseases. The patient’s medical history and current state may both be represented.,,
pcornet,v7.0,death,Reported mortality information for patients.,,
pcornet,v7.0,death_cause,The individual causes associated with a reported death.,,
pcornet,v7.0,demographic,Demographics record the direct attributes of individual patients.,,
pcornet,v7.0,diagnosis,Diagnosis codes indicate the results of diagnostic processes and medical coding within healthcare delivery.,,
pcornet,v7.0,dispensing,"Outpatient pharmacy dispensing, such as prescriptions filled through a neighborhood pharmacy with a claim paid by an insurer. Outpatient dispensing may not be directly captured within healthcare systems.",,
pcornet,v7.0,encounter,Encounters are interactions between patients and providers within the context of healthcare delivery.,,
pcornet,v7.0,enrollment,"Enrollment is a concept that defines a period of time during which all medically-attended events are expected to be observed. This concept is often insurance-based, but other methods of defining enrollment are possible.",,
pcornet,v7.0,harvest,Attributes associated with the specific PCORnet datamart implementation.,,
pcornet,v7.0,lab_result_cm,"Laboratory result Common Measures (CM) use specific types of quantitative and qualitative measurements from blood and other body specimens. The common measures are defined in the same way across all PCORnet networks, but this table can also include other types of lab results.",,
pcornet,v7.0,lab_history,Table for storing historical information about units of measure and reference ranges for laboratory test results.,,
pcornet,v7.0,pcornet_trial,Patients who are enrolled in PCORnet clinical trials.,,
pcornet,v7.0,prescribing,"Provider orders for medication dispensing and/or administration. These orders may take place in any setting, including the inpatient or outpatient basis.",,
pcornet,v7.0,pro_cm,"Patient-reported outcome Common Measures are standardized measures that are defined in the same way across all PCORnet networks. Each measure is recorded at the individual item level: an individual question/statement, paired with its standardized response options.",,
pcornet,v7.0,procedures,"Procedure codes indicate the discreet medical interventions and diagnostic testing, such as surgical procedures and lab orders, delivered within a healthcare context.",,
pcornet,v7.0,med_admin,"Records of medications administered to patients by healthcare providers. These administrations may take place in any setting, including inpatient, outpatient or home health encounters",,
pcornet,v7.0,provider,Data about the providers who are involved in the care processes documented in the CDM,,
pcornet,v7.0,obs_clin,Standardized qualitative and quantitative clinical observations about a patient,,
pcornet,v7.0,obs_gen," ""This table provides a generalized structure for storing observations and is not optimized for analytical efficiency. As elements from this table are used in studies and/or distributed queries", additional representations of those data elements (i.e.," new table structures) may be required to better support those activities"""
pcornet,v7.0,hash_token," ""Encrypted hash tokens that are used to match patient records across DataMarts using privacy-preserving record linkage methods.""",,
pcornet,v7.0,immunization," ""Records of immunizations that have been delivered within the health system as well as reports of those administered elsewhere.""",,
pcornet,v7.0,vital,"""Vital signs (such as height, weight, and blood pressure) directly measure an individual�s current state of attributes.""",,
pcornet,v7.0,lds_address_history," ""Longitudinal record of a patient’s address that adheres to the requirements of a Limited Data Set.""",,
pcornet,v7.0,private_demographic," ""Protected table that is intended to provide a standardized representation of the personally-identifiable information (PII) that is needed to support local activities related to record linkage.""",,
pcornet,v7.0,private_address_history," ""Protected table that can be used to store elements of a patient’s address that are considered personal health information (PHI). These data can be used for geocoding or other linkage projects.""",,
pcornet,v7.0,private_address_geocode," ""Protected table that can be used to store the results of geocoding algorithms.""",,
pcornet,v7.0,external_meds,Medications external to the originating health system.  Examples include medications as reported by the patient and those obtained from external health systems.,,
pcornet,v7.0,pat_relationship,This table is used to store information about the relationships between patients within a given PCORnet Common Data Model.  ,,
