model,version,table,field,type,name
pedsnet,2.2.0,person,person_id,primary key,xpk_person
pedsnet,2.2.0,person,care_site_id,not null,
pedsnet,2.2.0,person,ethnicity_concept_id,not null,
pedsnet,2.2.0,person,ethnicity_source_concept_id,not null,
pedsnet,2.2.0,person,gender_concept_id,not null,
pedsnet,2.2.0,person,gender_source_concept_id,not null,
pedsnet,2.2.0,person,language_concept_id,not null,
pedsnet,2.2.0,person,language_source_concept_id,not null,
pedsnet,2.2.0,person,person_id,not null,
pedsnet,2.2.0,person,race_concept_id,not null,
pedsnet,2.2.0,person,race_source_concept_id,not null,
pedsnet,2.2.0,person,year_of_birth,not null,
