TABLE_NAME,FIELD_NAME,REQUIRED,REF_TABLE,REF_FIELD,DATA_TYPE,DATA_FORMAT,REPLICATED,UNIT_OF_MEASURE,VALUE_SET,VALUE_DESCRIPTION,DEFINITION
CONDITION,CONDITION,YES,,,TEXT(18),,NO,,,,"Condition code. 

Leading zeroes and different levels of decimal precision are permissible in this field. Please populate the exact textual value of this diagnosis code, but remove source-specific suffixes and prefixes. Other codes should be listed as recorded in the source data."
CONDITION,CONDITION_SOURCE,NO,,,TEXT(2),,NO,,PR;HC;RG;NI;UN;OT,"PR=Patient-reported medical history
HC=Healthcare problem list
RG=Registry cohort
NI=No information
UN=Unknown
OT=Other","Please note: The “Patient-reported” category can include reporting by a proxy, such as patient’s family or guardian.

Guidance: “Registry cohort” generally refers to cohorts of patients flagged with a certain set of characteristics for management within a health system.

“Patient-reported” can include self-reported medical history and/or current medical conditions, not captured via healthcare problem lists or registry cohorts."
CONDITION,CONDITION_STATUS,NO,,,TEXT(2),,NO,,AC;RS;IN;NI;UN;OT,"AC=Active
RS=Resolved
IN=Inactive
NI=No information
UN=Unknown
OT=Other","Condition status corresponding with REPORT_DATE.

Guidance: The value of IN=Inactive may be used in situations where a condition is not resolved, but is not currently active (for example, psoriasis)."
CONDITION,CONDITION_TYPE,YES,,,TEXT(2),,NO,,09;10;11;SM;HP;NI;UN;OT,"09=ICD-9-CM
10=ICD-10-CM
11=ICD-11-CM
SM=SNOMED CT
HP=Human Phenotype Ontology
NI=No information
UN=Unknown
OT=Other","Condition code type. 

Please note: The “Other” category is meant to identify internal use ontologies and codes."
CONDITION,ENCOUNTERID,NO,ENCOUNTER,ENCOUNTERID,TEXT(x),,NO,,,,"Arbitrary encounter-level identifier used to link across tables. This is an optional field, and should only be populated if the item was collected as part of a healthcare encounter."
CONDITION,PATID,YES,DEMOGRAPHIC,PATID,TEXT(x),,NO,,,,Arbitrary person-level identifier. Used to link across tables.
CONDITION,RAW_CONDITION,NO,,,TEXT(x),,NO,,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set."
CONDITION,RAW_CONDITION_SOURCE,NO,,,TEXT(x),,NO,,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set."
CONDITION,RAW_CONDITION_STATUS,NO,,,TEXT(x),,NO,,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set."
CONDITION,RAW_CONDITION_TYPE,NO,,,TEXT(x),,NO,,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set."
CONDITION,REPORT_DATE,YES,,,TEXT(10),YYYY-MM-DD,NO,DATE,,,Date condition was noted. Please note that this date may not correspond to onset date.
CONDITION,RESOLVE_DATE,NO,,,TEXT(10),YYYY-MM-DD,NO,DATE,,,"Date condition was resolved, if resolution of a transient condition has been achieved. A resolution date is not generally expected for chronic conditions, even if the condition is managed."
