model,version,type,table,field,name
pcornet,v3.1,not null,demographic,patid,
pcornet,v3.1,not null,enrollment,patid,
pcornet,v3.1,not null,enrollment,enr_start_date,
pcornet,v3.1,not null,enrollment,enr_basis,
pcornet,v3.1,not null,encounter,encounterid,
pcornet,v3.1,not null,encounter,patid,
pcornet,v3.1,not null,encounter,admit_date,
pcornet,v3.1,not null,encounter,enc_type,
pcornet,v3.1,not null,diagnosis,diagnosisid,
pcornet,v3.1,not null,diagnosis,patid,
pcornet,v3.1,not null,diagnosis,encounterid,
pcornet,v3.1,not null,diagnosis,dx,
pcornet,v3.1,not null,diagnosis,dx_type,
pcornet,v3.1,not null,diagnosis,dx_source,
pcornet,v3.1,not null,procedures,proceduresid,
pcornet,v3.1,not null,procedures,patid,
pcornet,v3.1,not null,procedures,encounterid,
pcornet,v3.1,not null,procedures,px,
pcornet,v3.1,not null,procedures,px_type,
pcornet,v3.1,not null,vital,vitalid,
pcornet,v3.1,not null,vital,patid,
pcornet,v3.1,not null,vital,measure_date,
pcornet,v3.1,not null,vital,vital_source,
pcornet,v3.1,not null,dispensing,dispensingid,
pcornet,v3.1,not null,dispensing,patid,
pcornet,v3.1,not null,dispensing,dispense_date,
pcornet,v3.1,not null,dispensing,ndc,
pcornet,v3.1,not null,lab_result_cm,lab_result_cm_id,
pcornet,v3.1,not null,lab_result_cm,patid,
pcornet,v3.1,not null,lab_result_cm,result_date,
pcornet,v3.1,not null,condition,conditionid,
pcornet,v3.1,not null,condition,patid,
pcornet,v3.1,not null,condition,condition,
pcornet,v3.1,not null,condition,condition_type,
pcornet,v3.1,not null,condition,condition_source,
pcornet,v3.1,not null,pro_cm,pro_cm_id,
pcornet,v3.1,not null,pro_cm,patid,
pcornet,v3.1,not null,pro_cm,pro_item,
pcornet,v3.1,not null,pro_cm,pro_date,
pcornet,v3.1,not null,pro_cm,pro_response,
pcornet,v3.1,not null,prescribing,prescribingid,
pcornet,v3.1,not null,prescribing,patid,
pcornet,v3.1,not null,pcornet_trial,patid,
pcornet,v3.1,not null,pcornet_trial,trialid,
pcornet,v3.1,not null,pcornet_trial,participantid,
pcornet,v3.1,not null,death,patid,
pcornet,v3.1,not null,death,death_source,
pcornet,v3.1,not null,death_cause,patid,
pcornet,v3.1,not null,death_cause,death_cause,
pcornet,v3.1,not null,death_cause,death_cause_code,
pcornet,v3.1,not null,death_cause,death_cause_type,
pcornet,v3.1,not null,death_cause,death_cause_source,
pcornet,v3.1,not null,harvest,networkid,
pcornet,v3.1,not null,harvest,datamartid,
