model,version,table,field,ref_table,ref_field,name
pcornet,v3,enrollment,patid,demographic,patid,fk_enrollment_patid
pcornet,v3,encounter,patid,demographic,patid,fk_encounter_patid
pcornet,v3,diagnosis,patid,demographic,patid,fk_diagnosis_patid
pcornet,v3,diagnosis,encounterid,encounter,encounterid,fk_diagnosis_encounterid
pcornet,v3,procedures,patid,demographic,patid,fk_procedures_patid
pcornet,v3,procedures,encounterid,encounter,encounterid,fk_procedures_encounterid
pcornet,v3,vital,patid,demographic,patid,fk_vital_patid
pcornet,v3,vital,encounterid,encounter,encounterid,fk_vital_encounterid
pcornet,v3,dispensing,patid,demographic,patid,fk_dispensing_patid
pcornet,v3,dispensing,prescribingid,prescribing,prescribingid,fk_dispensing_prescribingid
pcornet,v3,lab_result_cm,patid,demographic,patid,fk_lab_result_cm_patid
pcornet,v3,lab_result_cm,encounterid,encounter,encounterid,fk_lab_result_cm_encounterid
pcornet,v3,condition,patid,demographic,patid,fk_condition_patid
pcornet,v3,condition,encounterid,encounter,encounterid,fk_condition_encounterid
pcornet,v3,pro_cm,patid,demographic,patid,fk_pro_cm_patid
pcornet,v3,pro_cm,encounterid,encounter,encounterid,fk_pro_cm_encounterid
pcornet,v3,prescribing,patid,demographic,patid,fk_prescribing_patid
pcornet,v3,prescribing,encounterid,encounter,encounterid,fk_prescribing_encounterid
pcornet,v3,pcornet_trial,patid,demographic,patid,fk_pcornet_trial_patid
pcornet,v3,death,patid,demographic,patid,fk_death_patid
pcornet,v3,death_cause,patid,demographic,patid,fk_death_cause_patid
